host_id,latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,location_cluster,naming_cluster,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,neighbourhood_encoded
6689302,1.3729,103.7649,30,2,0.06,2,0,2,3,False,True,False,473.6
135756776,1.29922,103.76559,6,1,0.71,22,362,4,1,True,False,False,167.29166666666666
10691920,1.38602,103.74316,3,60,0.89,2,0,2,4,False,True,False,95.67391304347827
130704287,1.39238,103.75079,30,8,0.38,1,0,2,4,False,True,False,95.67391304347827
3990809,1.33732,103.70075,1,3,0.15,1,0,2,4,False,True,False,92.3061224489796
146315442,1.31789,103.76491,3,0,0.0,1,0,4,3,False,True,False,167.29166666666666
236003988,1.36144,103.76917,1,14,3.65,1,46,2,4,False,True,False,473.6
130081954,1.38661,103.76494,1,0,0.0,1,0,2,0,False,True,False,473.6
4332365,1.39245,103.7527,13,0,0.0,1,365,2,4,False,True,False,95.67391304347827
108513701,1.33397,103.74012,1,0,0.0,1,0,2,3,True,False,False,210.01162790697674
25974243,1.30438,103.76162,3,0,0.0,1,0,4,4,False,True,False,167.29166666666666
143892668,1.34473,103.7322,7,3,0.12,13,365,2,4,False,True,False,210.01162790697674
9261752,1.38053,103.76698,30,0,0.0,1,358,2,2,False,True,False,473.6
47632157,1.34443,103.73485,3,0,0.0,1,0,2,1,False,True,False,210.01162790697674
143892668,1.34295,103.73435,5,0,0.0,13,365,2,3,False,True,False,210.01162790697674
9293170,1.34754,103.72343,3,0,0.0,14,365,2,1,False,True,False,92.3061224489796
101940767,1.31344,103.76476,6,11,0.34,2,59,4,1,False,True,False,167.29166666666666
40129954,1.35285,103.75816,30,7,0.14,2,365,2,2,False,True,False,97.95555555555555
132164074,1.34679,103.73303,7,0,0.0,1,0,2,3,True,False,False,210.01162790697674
9293170,1.33693,103.73842,7,0,0.0,14,365,2,3,False,True,False,210.01162790697674
5748910,1.38123,103.76874,3,15,0.2,2,131,2,1,False,True,False,473.6
16462930,1.38824,103.74424,1,1,0.07,1,26,2,0,False,True,False,95.67391304347827
94428597,1.36187,103.76457,30,0,0.0,1,362,2,0,False,True,False,97.95555555555555
21386285,1.34415,103.73317,5,2,0.14,15,365,2,3,False,True,False,210.01162790697674
138649185,1.33572,103.74303,30,0,0.0,76,364,2,0,True,False,False,210.01162790697674
146100311,1.33767,103.7359,5,0,0.0,10,356,2,3,False,True,False,210.01162790697674
60850011,1.35136,103.69649,1,0,0.0,1,0,2,4,False,True,False,92.3061224489796
47225556,1.31967,103.75947,30,0,0.0,1,72,4,1,True,False,False,167.29166666666666
8363779,1.36949,103.76564,1,20,0.4,2,193,2,3,False,True,False,473.6
59850672,1.3797,103.73912,3,11,0.84,2,352,2,0,False,True,False,95.67391304347827
42182224,1.3799,103.76061,30,4,0.12,3,0,2,4,True,False,False,95.67391304347827
12083856,1.3426,103.71501,7,28,0.62,2,299,2,4,False,True,False,92.3061224489796
110102717,1.31444,103.76711,3,0,0.0,1,0,4,3,False,True,False,167.29166666666666
41039458,1.33504,103.7422,7,2,1.2,10,0,2,3,True,False,False,210.01162790697674
51503267,1.33929,103.70251,30,0,0.0,1,364,2,3,False,True,False,92.3061224489796
26882479,1.33744,103.69854,7,0,0.0,1,0,2,0,False,True,False,92.3061224489796
40129954,1.35162,103.75881,30,3,0.07,2,263,2,4,False,True,False,97.95555555555555
